dataset,n_pairs,median_abs_r,p90_abs_r,max_abs_r,share_abs_r_lt_0_10,share_abs_r_lt_0_20
livecodebench,21,0.3214928942678887,0.4956265370577527,0.5256134572608046,0.0,0.23809523809523808
math_hard,28,0.15002517207480545,0.48674847919546566,0.5060140603332738,0.2857142857142857,0.6071428571428571
mmlu,28,0.1483302583841973,0.4127584694182383,0.6138695916622383,0.25,0.5714285714285714
simpleqa,28,0.06429796440767926,0.15513684106982986,0.16522387424339993,0.6785714285714286,1.0
triviaqa,28,0.14159703487876013,0.39013745842427766,0.5339311112898208,0.2857142857142857,0.7142857142857143
