resolution,mean_abs_diff,max_abs_diff,median_diff,p90_abs_diff,dataset
50,0.004120616988688752,0.01300479279225375,-0.0031474659014824047,0.008905194937435246,mmlu
100,0.0029905224885502157,0.00989092701758032,-0.003027555215432076,0.00687109724238244,mmlu
200,0.0017685014205281176,0.005002820414384823,-0.0012177250167701992,0.004061028617800739,mmlu
500,0.0,0.0,0.0,0.0,mmlu
50,0.000973430947024837,0.006531716582669267,-0.0006519359047486573,0.0019710903694467596,triviaqa
100,0.0006150014850324244,0.004806421506960645,-0.0002957466890475269,0.001616976426581762,triviaqa
200,0.0003866922584955326,0.0039587156286504666,0.0,0.0008731221842351866,triviaqa
500,0.0,0.0,0.0,0.0,triviaqa
50,0.0005936372050335865,0.00719570880356557,-0.00022033114351704963,0.0012757658931963345,math_hard
100,0.0002766302887067024,0.004165540328770478,0.0,0.001014198782961384,math_hard
200,0.0001942799900588866,0.0028918205683163833,0.0,0.0006904696298826174,math_hard
500,0.0,0.0,0.0,0.0,math_hard
50,0.0008064348631131493,0.008096817658680588,-0.0003128989311781405,0.002079338401000294,simpleqa
100,0.0004545551232231981,0.005072118889090094,-2.3148861453547998e-05,0.0011929679788327263,simpleqa
200,0.00022991646243490448,0.0039347917461931,0.0,0.0007108472618286177,simpleqa
500,0.0,0.0,0.0,0.0,simpleqa
50,0.001976315850531876,0.008923968523120385,-0.0014242827455522855,0.004961197623062574,livecodebench
100,0.0009779045994618805,0.007840578817638444,-0.00028508939211047135,0.002079164005830747,livecodebench
200,0.0005798308466219487,0.004638923374179593,-3.732498195296863e-05,0.001631081033618198,livecodebench
500,0.0,0.0,0.0,0.0,livecodebench
